Title,Type,Release Year,Platform,Genre,Creator/Director,Main Cast,IMDb,RT Score,Awards & Noms,Seasons,Short Synopsis,Viewership/Views,Popularity Indicator
We Met In Virtual,Movie,2022,Max,Documentary,Joe Hunting,Various,7.1,94%,Cinema Eye Win ,1,Relationships formed in VR.,0.9M ,Low
The Last Movie Stars,TV,2022,Max,Docuseries,Ethan Hawke,Paul Newman,8.3,100%,Emmy Nom ,1,Paul Newman and Joanne Woodward.,1.8M avg ,Moderate
The Last of Us,TV,2023,HBO,Survival Drama,Craig Mazin,Pedro Pascal,8.7,96%,8 Emmy Wins ,2,Smuggler protects a girl in apocalypse.,32M per ep ,Extreme
Succession (S4),TV,2023,HBO,Satire/Drama,Jesse Armstrong,Kieran Culkin,8.9,97%,Emmy Best Drama ,4,The final battle for Waystar Royco.,9.5M avg ,Very High
Barry (S4),TV,2023,HBO,Dark Comedy,Bill Hader,Bill Hader,8.8,100%,1 Emmy Nom ,4,The consequences of Barry's actions.,4.0M avg ,High
Love & Death,Miniseries,2023,Max,Crime Drama,David E. Kelley,Elizabeth Olsen,7.5,62%,Emmy Nom ,1,Axe murder in a small Texas town.,8.5M total ,High
Full Circle,Miniseries,2023,Max,Mystery,Soderbergh,Claire Danes,6.4,81%,nan,1,Kidnapping investigation in NYC.,4.2M total ,Moderate
Adventure Time:,TV,2023,Max,Animation,Adam Muto,Madeleine Martin,8.6,100%,1 Emmy Nom ,2,Fionna and Cake explore a multiverse.,3.5M avg ,High
VGLY,TV,2023,Max,Coming-of-Age,Various,Benny Emmanuel,7.5,,Mexican TV Win ,2,Aspiring trap music star in Mexico.,1.8M avg ,Cult
Gremlins: Secret,TV,2023,Max,Family,Tze Chun,James Hong,7.1,100%,nan,2,Prequel set in 1920s Shanghai.,4.1M avg ,Moderate
Evil Dead Rise,Movie,2023,Max,Horror,Lee Cronin,Lily Sullivan,6.6,84%,Saturn Nom ,1,Flesh-possessing demons in LA.,10.5M ,High
Wonka,Movie,2023,Max,Musical,Paul King,Timothée Chalamet,7,82%,1 BAFTA Nom ,1,Origin story of the candy maker.,18M ,Extreme
Barbie,Movie,2023,Max,Comedy,Greta Gerwig,Margot Robbie,6.9,88%,1 Oscar Win ,1,Barbie travels to the real world.,45M ,Extreme
The Righteous Gem,TV,2023,HBO,Comedy,Danny McBride,John Goodman,8.1,90%,Emmy Winner ,4,Megachurch family scandals.,5.2M avg ,High
The Idol,TV,2023,HBO,Drama,Sam Levinson,Lily-Rose Depp,4.5,19%,nan,1,Pop star seeks fame in Hollywood.,4.0M avg ,Very High
Gray Matter,Movie,2023,Max,Sci-Fi Thrill,Greg Beeman,Mia Isaac,5.2,,nan,1,Mother and daughter with powers.,1.5M ,Low
Land of Gold,Movie,2023,Max,Drama,Nardeep Khurmi,Nardeep Khurmi,7.1,,Tribeca Win ,1,Trucker finds a young stowaway.,0.8M ,Low
Rock Hudson: All,Movie,2023,Max,Documentary,Stephen Kijak,Rock Hudson,7.6,91%,Emmy Nom ,1,Secret life of the Hollywood star.,1.8M ,Moderate
Bookie (S1),TV,2023,Max,Comedy,Chuck Lorre,Maniscalco,7.1,91%,nan,1,Veteran bookie in a legalizing market.,3.5M avg ,Moderate
Bama Rush,Movie,2023,Max,Documentary,Rachel Fleit,Various,5.1,55%,nan,1,Sorority recruitment at Alabama.,4.2M ,High
The Gilded Age (S2),TV,2023,HBO,Drama,Julian Fellowes,Baranski,8,93%,Emmy Nom ,3,The Opera House wars of NYC.,8.8M avg ,High
Last Week Tonight,TV,2023,HBO,Talk/News,John Oliver,John Oliver,8.9,100%,5 Emmy Wins ,13,Strikes and corporate monopolies.,4.5M avg ,High
The Penguin,TV,2024,HBO,Action Crime,Lauren LeFranc,Colin Farrell,8.3,91%,Emmy Win,1,Rise of Oz Cobb in Gotham.,18M total ,Very High
Dune: Prophecy,TV,2024,HBO,Sci-Fi,Alison Schapker,Emily Watson,7.9,82%,2 Emmy Noms ,2,Origin of the Bene Gesserit.,12.5M avg ,High
Fallout,TV,2024,Max,Sci-Fi/Action,Graham Wagner,Ella Purnell,8.4,93%,ARTEY Win ,2,Surviving post-nuclear wasteland.,11.9B min ,Extreme
Hacks (S3),TV,2024,Max,Comedy,Lucia Aniello,Jean Smart,8.2,100%,3 Emmy Wins ,5,Deborah and Ava reconcile.,9.1M avg ,High
Creature Commando,TV,2024,Max,Animation,James Gunn,Frank Grillo,8.1,91%,nan,1,DC monsters form a task force.,6.5M avg ,High
Juror #2,Movie,2024,Max,Thriller,Clint Eastwood,Nicholas Hoult,7.3,85%,nan,1,Juror realizes he caused the crime.,8.5M ,High
Caddo Lake,Movie,2024,Max,Horror,Celine Held,Dylan O'Brien,6.8,78%,nan,1,Missing girl leads to family secrets.,5.2M ,Moderate
Am I OK?,Movie,2024,Max,Comedy,Tig Notaro,Dakota Johnson,6.6,79%,nan,1,Woman comes out in her 30s.,3.5M ,Moderate
'Salem's Lot,Movie,2024,Max,Horror,Gary Dauberman,Lewis Pullman,5.9,55%,nan,1,Vampires infest a Maine town.,10.2M ,High
Turtles All the,Movie,2024,Max,Drama,Hannah Marks,Isabela Merced,7,91%,nan,1,Teen searches for billionaire.,4.1M ,Moderate
On the Roam,TV,2024,Max,Docuseries,Jason Momoa,Jason Momoa,8.3,,Emmy Win ,2,Momoa travels to find artisans.,3.8M avg ,Moderate
Conan O'Brien Go,TV,2024,Max,Docuseries,Conan O'Brien,Conan O'Brien,8.7,95%,Emmy Win ,2,Conan visits fans globally.,5.5M avg ,High
House of Dragon S2,TV,2024,HBO,Fantasy,Ryan Condal,Emma D'Arcy,8.4,90%,Golden Globe Nom ,2,The war between Black and Green.,25M avg ,Extreme
The Regime,Miniseries,2024,HBO,Thriller,Will Tracy,Kate Winslet,6.1,55%,Emmy Nom ,1,A year in a crumbling palace.,4.5M total ,High
True Detective S4,TV,2024,HBO,Crime Drama,Issa López,Jodie Foster,8,92%,Emmy Win ,4,Disappearance in the Arctic night.,12.7M avg ,Very High
Curb Your S12,TV,2024,HBO,Comedy,Larry David,Larry David,8.7,94%,1 Emmy Nom ,12,Larry faces trial in Atlanta.,6.5M avg ,High
Industry (S3),TV,2024,HBO,Drama,Konrad Kay,Myha'la,8.1,96%,Emmy Nom ,4,Pierpoint enters green energy.,2.5M avg ,Moderate
The Big Bang Theo,TV,2024,Max,Comedy (Acq),Chuck Lorre,Jim Parsons,8.2,81%,Binge King Win ,12,Scientists and their social lives.,29.1B min ,Extreme
Friends,TV,2024,Max,Comedy (Acq),David Crane,Jennifer Aniston,8.9,78%,Legacy Win ,10,Friends in 1990s New York.,21.5B min ,Extreme
Bluey,TV,2024,Max,Kids (Acq),Joe Brumm,Various,9.4,100%,ARTEY Win ,3,Adventures of a puppy.,55.6B min ,Extreme
The Pitt,TV,2025,Max,Medical Drama,R. Scott Gemmill,Noah Wyle,8.2,100%,Emmy Win,3,Modern hospital in Pittsburgh.,11.4B min ,Extreme
IT: Welcome Derry,TV,2025,HBO,Horror,Jason Fuchs,Bill Skarsgård,7.9,82%,NAACP Nom ,1,Origin of Pennywise in Derry.,15.5M avg ,Very High
Task,TV,2025,HBO,Crime Drama,Brad Ingelsby,Mark Ruffalo,8.1,87%,Critics Nom ,1,FBI agent tracks a killer in PA.,12.6M avg ,High
Marty Supreme,Movie,2025,Max,Sports Drama,Josh Safdie,Chalamet,8.9,100%,Oscar Nom ,1,Table tennis star seeks fame.,9.5M ,Very High
The Smashing Mach,Movie,2025,Max,Sports Drama,Benny Safdie,Dwayne Johnson,8.4,91%,Oscar Nom ,1,Life of UFC fighter Mark Kerr.,8.8M ,High
The Chair Company,TV,2025,HBO,Comedy Thrill,Tim Robinson,Tim Robinson,7.5,85%,1 Emmy Nom ,1,Sketchy business office drama.,3.5M avg ,High
I Love LA,TV,2025,HBO,Comedy,Rachel Sennott,Rachel Sennott,7.8,89%,GLAAD Nom ,1,Navigating the Hollywood scene.,4.2M avg ,Moderate
Reformed,TV,2025,Max,Comedy Drama,Various,Various,7.2,,nan,1,French comedy about redemption.,1.1M avg ,Low
The Parenting,Movie,2025,Max,Horror Comedy,Craig Johnson,Brian Cox,7,78%,nan,1,Couples in a haunted Airbnb.,5.8M ,Moderate
Aztec Batman,Movie,2025,Max,Animation,Juan Meza-León,Various,7.1,,nan,1,Batman in Aztec Mexico.,4.1M ,Moderate
Scars of Beauty,TV,2025,Max,Telenovela,Various,Various,6.8,,nan,1,Portuguese-language drama.,1.8M avg ,Moderate
Dust Bunny,Movie,2025,Max,Horror,Bryan Fuller,Mads Mikkelsen,7.3,81%,nan,1,Girl hires neighbor to kill monster.,4.5M ,High
Superman,Movie,2025,Max,Superhero,James Gunn,David Corenswet,8.1,91%,nan,1,First film in the new DCU.,35M ,Extreme
The Dark Wizard,TV,2025,HBO,Docuseries,Various,Dean Potter,8,100%,1 Emmy Nom ,1,Profile of climber Dean Potter.,2.5M avg ,Moderate
Hacks (S4),TV,2025,Max,Comedy,Lucia Aniello,Jean Smart,8.2,100%,5 Emmy Wins ,5,Deborah's late-night TV struggle.,9.8M avg ,High
The White Lotus S3,TV,2025,HBO,Tragicomedy,Mike White,Walton Goggins,7.7,94%,Emmy Win ,3,Vacationers in Thailand.,11.2M avg ,Very High
100 Foot Wave S3,TV,2025,HBO,Docuseries,Chris Smith,McNamara,8.1,,Emmy Win ,3,Big-wave surfing in Nazaré.,4.0M avg ,High
Somebody Somewhere,TV,2025,HBO,Comedy,Hannah Bos,Bridget Everett,8.1,100%,Emmy Win ,3,Community in rural Kansas.,2.5M avg ,High
Running Point,TV,2025,Max,Comedy,Mindy Kaling,Kate Hudson,7,75%,ARTEY Win ,1,Behind the scenes of a sports team.,5.1B min ,Very High
Sean Combs: Reckon,TV,2025,Max,Docuseries,Various,Various,7.2,,ARTEY Win ,1,Deep dive into Diddy.,4.8B min ,Very High
A Knight Seven Kng,TV,2026,HBO,Fantasy,G.R.R. Martin,Peter Claffey,8.4,93%,2 Emmy Noms ,1,Tales of Dunk and Egg.,18.5M avg ,Extreme
Wuthering Heights,Movie,2026,Max,Romance,Emerald Fennell,Margot Robbie,7.8,89%,Oscar Nom ,1,Gothic romance on the moors.,22M ,Very High
Rooster,TV,2026,HBO,Comedy,Various,Various,7.2,,NAACP Nom ,1,Family comedy series.,194 (Daily) ,High
Lanterns,TV,2026,HBO,Sci-Fi/Crime,Chris Mundy,Various,8,91%,nan,1,Intergalactic police mystery.,12.0M avg ,High
Greenland 2,Movie,2026,Max,Action,Ric Waugh,Gerard Butler,6.5,72%,nan,1,Survivors seek the Bone Temple.,10.5M ,High
The Moment,Movie,2026,Max,Mockumentary,Various,Charli XCX,7.1,82%,GLAAD Nom ,1,Pop superstardom satire.,5.5M ,High
In Five Years,Movie,2026,Max,Sci-Fi Rom,Various,Various,7.2,,nan,1,Life seen five years out.,4.2M ,Moderate
Madam Beja,TV,2026,Max,Telenovela,Various,Various,6.8,,nan,1,Portuguese historical drama.,1.8M avg ,Moderate
Banksters,TV,2026,Max,Heist Drama,Various,Various,7,,nan,1,German heist thriller series.,1.2M avg ,Low
Stuart Fails to,TV,2026,Max,Sci-Fi Comedy,Various,Various,7.5,,nan,1,Man tries to save the universe.,2.1M avg ,Moderate
Industry (S4),TV,2026,HBO,Drama,Konrad Kay,Myha'la,8.1,96%,Emmy Winner ,4,Final season of banking drama.,3.5M avg ,Moderate
Euphoria (S3),TV,2026,HBO,Drama,Sam Levinson,Zendaya,8.3,88%,8 Emmy Wins ,3,Rue and Jules time-jump.,28M total ,Extreme
The Pitt (S2),TV,2026,Max,Medical Drama,R. Scott Gemmill,Noah Wyle,8.2,100%,ARTEY Win ,3,Continued hospital drama.,11.6B min ,Extreme
4 Blocks Zero,TV,2026,Max,Crime Drama,Various,Various,8,,nan,1,German crime prequel.,1.5M avg ,Moderate
Melania Rea,TV,2026,Max,True Crime,Various,Various,7.1,,nan,1,Italian true crime drama.,1.2M avg ,Moderate
Gunslingers,Movie,2026,Max,Western,Various,Various,6.8,,nan,1,Modern outlaw thriller.,189 (Daily) ,High
Marty Supreme,Movie,2026,Max,Sports Drama,Safdie,Chalamet,8.9,100%,Oscar Win ,1,Chalamet's career-defining role.,12M total ,Very High
Den of Thieves 2,Movie,2026,Max,Action,Christian Gudegast,Butler,6.1,45%,nan,1,Pantera heist thriller.,207 (Daily) ,High
Memory of a Killer,TV,2026,Max,Thriller,Various,Various,7.4,,nan,1,Hitman neighbor protection plot.,166 (Daily) ,High
La Promesa,TV,2026,Max,Period Drama,Various,Various,7,,nan,1,Spanish soap opera popularity.,125 (Daily) ,Moderate
